TaskBoardID,Discord ID,Verified,Moniker,Submission Link,Last Date Updated,filename,size
4530,Emre NOP#7479,In review,EmreNOP,https://www.dropbox.com/s/fe9indbxh61tnxk/EmreNOP-agorictest17-chain-1.slog.gz?dl=0<br />https://www.dropbox.com/s/h75lbq3f1k1rgnv/EmreNOP-agorictest17-chain-2.slog.gz?dl=0,2021-08-26 17:31:00,,
4567,Gavin | figment.io#8446,In review,Figment,https://drive.google.com/file/d/1vmk2GYBNFmBhI_0OqLPt9IDGyv5YTWtn/view?usp=sharing,2021-08-27 08:18:00,,
4356,HalitEmir#2246,In review,mcb,https://disk.yandex.com.tr/d/nAfSkO-2gA8hfw<br /><br />my monikor : mcb,2021-08-26 09:07:00,,
4554,Hyung-Kyu (hqueue) #1907,In review,DSRV,https://drive.google.com/file/d/1Gh7BXgW9dNWVhHbWnDeT0D3aovaEtwLb/view?usp=sharing,2021-08-27 02:25:00,,
4236,Kostya#3379,In review,validators_support,submitted 2021-08-25T23:37:47.744Z-Kostya#3379.slog.gz,2021-08-25 20:34:00,,
4322,Lyz#7138,In review,Humannode,Moniker: Humannode<br /><br />file:<br />https://drive.google.com/file/d/1V8Ip3reAdqS471s6GhM7OvSguMvK4JD4/view?usp=sharing,2021-08-26 06:38:00,,
4289,Michael-SWU | unagii.com#8482,In review,StakeWithUs,Download link: <br /><br />https://agorictestnet.s3.ap-southeast-1.amazonaws.com/StakeWithUs-agorictest17-chain.slog.gz,2021-08-26 04:59:00,,
4586,MotokiTakahashi#5208,In review,gumi,2021-08-27T13:52:26.807Z-JunYamasaki#0394.slog.gz,2021-08-27 10:25:00,,
4210,Quebs#5054,In review,SwissAgoric.org,https://drive.google.com/file/d/1yHZX4uy_zqDEvE0r6fVP6XfgdCChapIB/view?usp=sharing,2021-08-25 17:06:00,,
4609,SK#5262,In review,SK123,https://drive.google.com/file/d/1l_gGYdFQqy-tZWqqeLhBjUbTWOE-BO0M/view?usp=sharing,2021-08-27 15:38:00,,
4503,Sergio#9134,In review,NodesGuru,https://storage.nodes.guru/NodesGuru-agorictest17-chain.gz,2021-08-26 15:50:00,,
4477,Sjors#2650,In review,Lemniscap,https://we.tl/t-xYDiOLz0YK,2021-08-26 14:34:00,,
4392,Tibi K. | moonlet.io #6120,In review,Moonlet.io,storage key: 2021-08-26T15:01:39.785Z-Tibi K. | moonlet.io#6120.slog.gz,2021-08-26 11:02:00,,
4086,YOLO#2749,In review,Va1id8,https://drive.google.com/file/d/1UqJuithSDbxkI0kSEv_PVjRBIJhZnYxL/view?usp=sharing,2021-08-24 17:14:00,,
4521,agoric#4193,In review,YaroslavLV,https://disk.yandex.com/d/-nxV_y9OabmPEA,2021-08-26 16:48:00,,
4580,alchemydc#8013,In review,ElectricCoinCo,https://storage.googleapis.com/agoric-testnet-phase4-chaindata/ElectricCoinCo-agorictest-17-chain.slog.gz,2021-08-27 10:08:00,,
4635,chris-remus#4082,In review,Chainflow,slogfile available here -<br /><br />https://cflow-compound-temp.ams3.digitaloceanspaces.com/chainflow-agoric-slog-4-5.tgz,2021-08-27 20:49:00,,
4546,depasty#7902,In review,deapst,https://drive.google.com/file/d/1DC-FKIyOAl04xaRd0nzqt34dgHSskiGt/view?usp=sharing,2021-08-26 20:08:00,,
4249,humantraffic#5925,In review,humantraffic,https://www.dropbox.com/s/ycz0cbwe2f58yk0/humantraffic-agorictest17-chain.slog.gz?dl=0,2021-08-26 02:26:00,,
4596,hyehan#9340,In review,nodesis,https://s3.us-west-1.amazonaws.com/nodesis-chain.slog/nodapsis-agorictest17-chain.slog.gz,2021-08-27 12:48:00,,
4308,kristaps#8455,In review,kj-agoric,https://fv9-1.failiem.lv/down.php?i=6zn35ufd6&n=kj-agoric-agorictest17-chain.slog.gz,2021-08-26 06:01:00,,
4380,mihaildmm#2064,In review,mrdaddyru,https://drive.google.com/file/d/10m_rhdPpl8vYJ4A-a1hRnN1vjtE07EcT/view?usp=sharing,2021-08-26 10:20:00,,
4211,mindstyle#9025,In review,P-ops,https://drive.google.com/file/d/1OzfZq0kCKZGo_oHcN4Y_3qv6KP9MBIGl/view?usp=sharing,2021-08-25 17:09:00,,
4641,mr_vavilon#6450,In review,mrvavilon,Completted<br />https://drive.google.com/file/d/1--LorJwXSpcDkd3k47_HLQOU6xhLFA69/view?usp=sharing,2021-08-28 01:30:00,,
4463,nad010286,In review,BlockShark,"I submitted at https://submit.agoric.app/participant/slogForm but just in case, I have another copy in google drive<br /><br /><br />https://drive.google.com/file/d/10Sm--e0StF4tQx2lo6hT1u7qLNH4_ds7/view?usp=sharing",2021-08-26 13:37:00,,
4549,natashakrip#8844,In review,nataagoric,"https://www.dropbox.com/s/ytwkfs8s2wf4tvm/nataagoric-agorictest17-chain.gz?dl=0<br /><br />I couldn't load slog-file here https://submit.agoric.app, because file is too big.",2021-08-26 23:20:00,,
4473,oxes#8647,In review,oxess,https://drive.google.com/file/d/1vAD3LpfSlE0vEfp-YN_eqd1t4oplkdf0/view?usp=sharing,2021-08-26 14:16:00,,
3880,pkr/#9983,In review,w3m,have begun capture SLOG with this file name: w3m-agorictest17-chain.slog,2021-08-19 15:45:00,,
4622,svAbhishek | OmniFlix Network#1613,In review,OmniFlix Network,"name : 2021-08-27T22:10:31.625Z-svAbhishek | OmniFlix Network#2264.slog.gz	<br /><br />size : 1,666,574,258<br /><br />hash : iIs8pOQ7a8Mh/Dl4tj9S4g==",2021-08-27 18:25:00,,
4166,tettghy#4808,In review,Pornhub,"Completed, Moniker: Pornhub<br />filed upload to https://submit.agoric.app/, so using google:<br /><br />https://drive.google.com/file/d/1L5qv1N0vTtZXeQ6qncYU6N4O3esgAR40/view?usp=sharing<br />",2021-08-25 12:06:00,,
4511,wombat#7690,In review,wombat,https://drive.google.com/file/d/1a_o8axXJO8i9bZLaVry5zGK1bEwgvSth/view?usp=sharing,2021-08-26 16:12:00,,
