,TaskBoardID,Discord ID,Moniker,Status,jsonErr,Last Date Updated,moniker,delegator_address
86,3714,aderks#7408,oracleminer,Completed,False,2021-08-16 23:04:00,oracleminer,agoric1wvw6tqktdl4rtev7rmvz0s04v6afaz0f5j2h04
87,3703,agoric#4193,YaroslavLV,Completed,False,2021-08-16 17:06:00,YaroslavLV,agoric1x8em9wzq8rekpwx5yl0zhjfw890gk7jjw5rkg4
88,3813,ahmedwk#6882,ahmed6175,Completed,False,2021-08-18 12:59:00,ahmed6175,agoric1jglsc8d5px4rhlwn94cu68c6sn5e742vw6r7rp
89,3755,alchemydc#8013,ElectricCoinCo,Completed,False,2021-08-17 11:10:00,ElectricCoinCo,agoric1q5mk8ap43g3s8pkxa0sx89s2zft5dxwg7hpwqk
90,3729,alexDcrypto - stake2earn 🌜#0005,stake2earn,Completed,False,2021-08-17 05:05:00,stake2earn,agoric1qhmqp3weh5wx5da62mefc2mvku9p49umpygznm
91,3728,alexandruast | stakesystems.io#0776,stake.systems,Completed,False,2021-08-17 04:12:00,stake.systems,agoric1k9z6k4cuqpmvn65aeppxwam9szy68nalec7kfk
92,3685,aliefaisala#3118,aliefaisala,Completed,False,2021-08-16 13:30:00,aliefaisala,agoric1z4zkzzhaaugyldkkxn5ytjpc4e6t3rmvscqqjq
93,3696,alkadeta#2699,alkadeta,Completed,False,2021-08-16 16:06:00,alkadeta,agoric1lxpzc0chmv59vfnuzt72skdcchrcqqrftx8e82
94,3786,asif#1713,almuezza,Obsolete,False,2021-08-17 13:24:00,almuezza,agoric1ussm5y0qjd7yaxtjruxqj520ka2k93ml44dufk
95,4514,asif#1713,almuezza,Completed,False,2021-08-26 16:20:00,almuezza,agoric1ussm5y0qjd7yaxtjruxqj520ka2k93ml44dufk
96,3704,aurel#1337,DokiaCapital,Completed,False,2021-08-16 17:10:00,DokiaCapital,agoric12z8nmk25f4dh7st9ragynmeaq4prr30m6uayl3
97,3698,bakarapara#3452,bakarapara,Completed,False,2021-08-16 16:25:00,bakarapara,agoric1kc43e3lt7a2y4v3rwt3rchj00dx300885fa6y9
98,3802,barbzilla#1704,(+_+),Completed,False,2021-08-17 17:18:00,(+_+),agoric1z653nmdrc7jv5y8eg5c06dezd6a5e9rn5770rw
99,3838,bearsbeet#2712,kari,Completed,False,2021-08-19 09:09:00,kari,agoric1gmfj7n77zmsk98rnhwyyjz4gplf7crpfmjhkec
100,3720,blackpaopao#7315,blackpaopao,Completed,False,2021-08-17 02:20:00,blackpaopao,agoric1u2ae3d3m8m8e6wlcyq2h0we9z77huc7xrxnd09
101,3811,chris-remus#4082,Chainflow,Completed,False,2021-08-18 12:30:00,Chainflow,agoric1jgxtdghaj4zv9xcm03rjuvc69j23eeuacd644d
102,3794,clawmvp | 01node.com#8018,01node,Completed,False,2021-08-17 14:18:00,01node,agoric16c65m9jn8rm85vzl2ned8xjrwk9jn6t3uhx4mf
103,3775,cryptovestor#5714,wavefive,Completed,False,2021-08-17 12:34:00,wavefive,agoric1v5ucdxzaugdhsf5my9f2xzp2v79s5q9xgfzpng
